epsilon geometric spectral combined limit
0.1 1.09975245837 2.58231095276 3.68206341113 6.00515411423
0.01 0.451250654109 4.40851387608 4.85976453019 6.00515411423
0.001 0.18021046699 5.36939425184 5.54960471883 6.00515411423
0.0001 0.0717656720133 5.74875826402 5.82052393603 6.00515411423
1e-05 0.028571328572 5.89320930666 5.92178063523 6.00515411423
1e-06 0.0113744866062 5.95279685926 5.96417134586 6.00515411423
1e-07 0.00452826610569 5.97969625595 5.98422452206 6.00515411423
1e-08 0.00180273526363 5.99255052042 5.99435325568 6.00515411423
1e-09 0.000717681837323 5.99886760566 5.9995852875 6.00515411423
1e-10 0.000285714285704 6.00200919463 6.00229490892 6.00515411423
1e-11 0.000113744905872 6.00357901439 6.0036927593 6.00515411423
1e-12 4.52826626417e-05 6.00436489632 6.00441017898 6.00515411423
